epoch,free_energy,reconstruction_error,kl_loss
0,1234.8130249023438,1206.140234375,28.672794914245607
1,1127.5761108398438,1101.5772827148437,25.998833656311035
2,1034.74208984375,1011.2757568359375,23.466341018676758
3,959.3776123046875,938.1559814453125,21.221634483337404
4,890.4003784179688,871.301806640625,19.09855728149414
5,835.9760498046875,818.7874328613282,17.18860912322998
6,788.8186157226562,773.3753845214844,15.443241310119628
7,750.5722412109375,736.7879821777344,13.784265422821045
8,718.552001953125,706.3314514160156,12.220553398132324
9,692.4284973144531,681.6197204589844,10.808773422241211
10,671.4364440917968,661.9830322265625,9.453402328491212
11,655.4116394042969,647.185498046875,8.226149368286134
12,642.7012634277344,635.6509674072265,7.050302410125733
13,632.9426879882812,626.9779724121094,5.964711236953735
14,626.0237915039063,621.0326324462891,4.99114875793457
15,620.9353759765625,616.8157775878906,4.119602632522583
16,617.7455749511719,614.4025573730469,3.343026375770569
17,615.6766052246094,612.9961486816406,2.680449628829956
18,614.0840118408203,611.9364318847656,2.1475957870483398
19,613.2705688476562,611.5467163085938,1.7238503456115724
20,612.4005432128906,611.0054870605469,1.3950658202171327
21,611.8508605957031,610.7045532226563,1.1463002204895019
22,611.2405395507812,610.2832153320312,0.9573333323001861
23,610.8765747070313,610.0671569824219,0.8094281315803528
24,610.4921020507812,609.8017547607421,0.6903432846069336
25,610.2635681152344,609.674169921875,0.589400190114975
26,610.0235534667969,609.5180053710938,0.5055446147918701
27,609.7782531738281,609.3409149169922,0.43734694421291354
28,609.488037109375,609.1061157226562,0.38190495073795316
29,609.215380859375,608.8782592773438,0.3371197372674942
30,609.2267791748047,608.927587890625,0.29918682873249053
31,609.0190002441407,608.7514038085938,0.2675922870635986
32,608.8851928710938,608.6450744628906,0.24010603725910187
33,608.8928100585938,608.676708984375,0.2161022812128067
34,608.6505004882813,608.4554016113282,0.19510043859481813
35,608.6312622070312,608.4548461914062,0.17642113268375398
36,608.5332183837891,608.3728210449219,0.1603932037949562
37,608.3799194335937,608.2330993652344,0.1468190461397171
38,608.373828125,608.2392456054688,0.1345798820257187
39,608.1616333007812,608.0373229980469,0.1243240237236023
40,608.206787109375,608.0920593261719,0.11471880003809928
41,608.1283203125,608.0222045898438,0.10611004903912544
42,608.0482727050781,607.9498779296875,0.09840326681733132
43,607.9189392089844,607.8277526855469,0.09119687750935554
44,607.9721496582031,607.8875915527344,0.08456176593899727
45,607.923062133789,607.8443542480469,0.07870797142386436
46,607.8561401367188,607.7824951171875,0.07364614829421043
47,607.8019805908203,607.7328887939453,0.06911335363984109
48,607.7096008300781,607.6444946289063,0.06510312929749489
49,607.7273254394531,607.6661071777344,0.061216668039560315
50,607.7035095214844,607.6456604003906,0.05784024372696876
51,607.6364074707031,607.5821350097656,0.05428610369563103
52,607.6361267089844,607.5848449707031,0.051283903792500495
53,607.5567443847656,607.5080505371094,0.04869882166385651
54,607.476904296875,607.4307983398437,0.046110855787992476
55,607.4826904296875,607.4387786865234,0.04389565959572792
56,607.4503356933594,607.4082885742188,0.0420332383364439
57,607.3878784179688,607.3478271484375,0.04006237126886845
58,607.3996948242187,607.3614898681641,0.03820301033556461
59,607.34521484375,607.308740234375,0.03647775799036026
60,607.4293334960937,607.3943969726563,0.03493993803858757
61,607.3058227539062,607.2723815917968,0.03345319516956806
62,607.3346618652344,607.3025756835938,0.032087478414177896
63,607.2810180664062,607.2503051757812,0.030707942321896553
64,607.3423034667969,607.3128173828125,0.029480817914009094
65,607.1756164550782,607.1473083496094,0.02829660139977932
66,607.1283325195312,607.101025390625,0.02730204872786999
67,607.2157287597656,607.1893493652344,0.0263816524296999
68,607.2089599609375,607.1834533691406,0.025502177886664867
69,607.1889892578125,607.1644348144531,0.02455585654824972
70,607.1616455078125,607.1379333496094,0.023713924176990985
71,607.1294250488281,607.1066040039062,0.022826331295073034
72,607.1371520996094,607.1151611328125,0.02198589891195297
73,607.08994140625,607.0686828613282,0.021268010139465332
74,607.0835266113281,607.0630615234375,0.020463645830750464
75,607.0973083496094,607.0775451660156,0.01976016480475664
76,607.0416198730469,607.0225524902344,0.019068662822246552
77,607.0944396972657,607.0758911132813,0.01855534054338932
78,607.0053588867188,606.987451171875,0.017892431281507016
79,606.9855102539062,606.9680297851562,0.017474416829645633
80,606.9789184570312,606.9619567871093,0.016961477510631085
81,606.9650207519531,606.9486145019531,0.016416172310709954
82,606.9748962402343,606.9590209960937,0.01588009763509035
83,606.9502258300781,606.93486328125,0.015356776863336563
84,606.9107238769532,606.8957824707031,0.0149354612454772
85,606.9530334472656,606.9385620117188,0.014472415484488011
86,606.9260009765625,606.9119140625,0.014082861598581076
87,606.8195434570313,606.805908203125,0.0136271633207798
88,606.8746826171875,606.861328125,0.013348164688795804
89,606.8986511230469,606.8855834960938,0.01306181475520134
90,606.8355346679688,606.8228515625,0.012680680118501186
91,606.8984252929688,606.8860290527343,0.012398273125290871
92,606.81337890625,606.801318359375,0.01205754280090332
93,606.8120666503906,606.800341796875,0.011729808244854211
94,606.8753479003906,606.8639465332031,0.011401504185050726
95,606.8645935058594,606.8533996582031,0.011185774952173233
96,606.8522216796875,606.8413940429688,0.010819289740175009
97,606.8110656738281,606.8005310058594,0.010537592321634292
98,606.7367309570312,606.7264831542968,0.010245705116540193
99,606.6955261230469,606.6854309082031,0.010097043402493
